============================================================
ARABIC VOCABULARY ORGANIZED BY CATEGORY
============================================================

For Mode 2: Quick Review - organized by topic
Format: english | arabic | transliteration
food | طعام | ta'am
fruit | فاكهة | fakihah
lunch | غداء | ghada'
meat | لحم | lahm
milk | حليب | halib
oil | زيت | zayt
orange | برتقالي | burtuqali
rice | أرز | aruzz
salt | ملح | milh
sugar | سكر | sukkar
tea | شاي | shay
to teach | عَلَّمَ (يُعَلِّمُ)
vegetable | خضار | khudar
warm (friend): boiling water | حميم
water | ماء

============================================================
# PEOPLE & OCCUPATIONS (82 words)
============================================================

110 students (m) | مِائَةٌ وَ عَشَرَةُ طُلاب |
111 students (m) | مِائَةٌ وَ أَحَدَ عَشَرَ طَالِبًا |
A thousand students | ألف |
Boy | وَلَدٌ |
Boys | أَوْلاد |
Bring (command) | هات |
Cooking pot | قدر |
Doctor | طبيب |
Doctor/professor | دكتور |
Doctors (f.pl) | دكتورات |
Doctors | أَطباء |
Eight hundred students | ثَمَانِمِائَةِ طَالِبٍ طَالِبَةٍ |
Engineer | مهندس |
Engineers | مُهَنْدِسُونَ |
Farmer | فلاح |
Farmers | فَلاحُوْنَ |
Fear (command) | خَفْ |
Five hundred students | خَمْسُمِائَةِ طَالِبٍ طَالِبَةٍ |
Gentleman | سيد |
German language | اللُّغَةُ الْمَانِيَةُ |
Germany | أَلْمَانِيَا |
Hardworking (pl) | مُجْتَهِدُونَ |
Hardworking | مجتهد |
How many/much | كم |
Leader | إِمَامٌ |
Learned man/ Old man | عَالِمٌ |
Maid servant | حَادِمَةٌ |
Manner | خُلُق |
Manners | أخلاق |
Many times | مرات |
Many | كثيرة |
Manzoor | مَنْظُور |
Merchant | تاجر |
Merchants | تجار |
Messenger | رَسُول (pl: رُسُل)
Nine hundred students | تِسْعُمِائَةِ طَالِبٍ طَالِبَةٍ |
People of Hud | عاد
People of Salih | ثمود
People/companions | أَصْحَابُ |
Policeman | شرطی |
Salman | سَلْمَانُ |
Scholar | شيخ |
Scholars | شيوخ |
Seven hundred students | سَبْعُمِائَةِ طَالِبٍ طَالِبَةٍ |
Seven students (f) | سبع طالبات |
Seven students | سَبْعَة طلاب |
Six hundred students | سِمِائَةِ طَالِبٍ طَالِبَةٍ |
Small boy | ولَيْدٌ |
Student (f) | طبيبة |
Student | طالب |
Students (f.pl) | طبيبات |
Students | طلاب |
Sulaiman | سُلَيْمَانُ |
Take (command) | خُذْ |
Taking a vowel | متحرك |
Taking/eating | تَنَاوُلُ |
Three hundred students | ثَلَا تُمِائَةِ طَالِب طَالِبَةٍ |
Twenty eight students | ثَمَانٍ وَ عِشْرُونَ طَالِبَةٌ |
Twenty five students | خَمْسٌ وَ عِشْرُونَ طالبة |
Twenty nine students | تِسْعٌ وَ عِشْرُونَ طَالِبَةً |
Twenty one students | إِحْدَى وَ عِشْرُونَ طالبة |
Twenty seven students | سَبْعٌ وَ عِشْرُونَ طَالِبَةٌ |
Twenty six students | سِتْ وَ عِشْرُونَ طَالِبَةٌ |
Twenty three students | ثَلاثَ وَ عِشْرُونَ طَالِبَةٌ |
Twenty two students | اثْنَتَانِ وَ عِشْرُونَ طَالِبَةٌ |
Two hundred (f) students | مِائَتَا طَالِبَةٍ |
